analysis,n_participants,n_proteins,n_observations,note
"Cohort (LC-MS/MS, all injections)",26,2963,104,"26 participants x 4 sampling points (A1, B1, B2, B3); all 26 complete at the injection level; 2963 protein groups with a gene symbol; 30.2% missing values at the protein x injection level, no imputation"
"R1_01 12-week response (A1 vs B1, lmer)",26,1545,76022,1545 protein groups passed the >=70% completeness filter within each time point and 1545 yielded a converged model; per-protein n ranged 21-26 participants (median 26); 127 significant at FDR<0.05; observations counted as non-missing protein x injection quantifications across the 52 A1/B1 injections
R1_02 protein x phenotype matrix (Spearman),26,1539,21542,delta protein (B1-A1) for 26 participants x 1539 proteins correlated against 14 phenotype deltas; 21542 of the 21546 possible protein x phenotype tests were evaluable (>=10 complete pairs); per-test n 10-26 (median 24); BH-FDR applied across the whole matrix
R1_03 over-representation analysis,26,1545,,"gene-set level analysis, no participant-level data; universe = the 1545 gene symbols actually tested in R1_01 (1522 mapped to Entrez), query = the 127 responders at FDR<0.05 (76 up / 51 down)"
R1_04 group x time interaction (lmer),26,1545,76022,"13 dysglycaemic vs 13 control, same A1/B1 samples and same completeness filter as R1_01; 1545 proteins yielded both nested models; per-protein n 21-26 participants (median 26); 0 significant at FDR<0.05"
"R1_05 acute response (B1/B2/B3, lmer)",26,1486,109899,1486 protein groups passed >=70% completeness at all three post-training sampling points and 1486 yielded a converged model; per-protein n 22-26 participants (median 26); 36 significant at FDR<0.05; observations counted across the 78 B1/B2/B3 injections
R1_11 EP vs serum (Olink) overlap,26,505,505,comparison is at the protein level between two summary tables from the same 26 participants (serum Olink n = 26 participants); 505 gene symbols quantified on BOTH platforms form the denominator; 55 of these were EP-significant and 41 serum-significant at FDR<0.05
R1_12 delta protein vs delta mRNA concordance,24,1383,1383,"1383 genes had both a filtered EP protein delta and a measured transcript; skeletal muscle: 1383 genes, 26 participants with paired A1/B1 RNA-seq; adipose tissue: 1381 genes, 24 participants (2 participants lack adipose samples entirely and were not imputed); per-gene correlations required >=10 complete pairs"
R1_13 DIABLO (4-block integration),24,500,48,"24 of 26 participants had complete EP, serum, muscle AND adipose data at both A1 and B1, giving 48 samples (A1 24, B1 24); 2 participants were dropped because their adipose samples are entirely missing and were NOT imputed; each block reduced to the top 500 features by variance (EP pool = 564 protein groups with no missing values across all A1/B1 injections)"
R1_15 mutually adjusted phenotype associations,26,552,26,rank-based partial correlations on 26 participant-level protein deltas; restricted to the 552 proteins with q<0.25 in R1_01 that also survived the R1_02 delta filter; each partial model required >=12 complete cases
R1_16 acute response clusters,26,246,26,246 acute responders (q<0.25 in R1_05) clustered on z-scored mean trajectories across B1/B2/B3; cluster scores computed per participant and related to training gain in 26 participants with complete phenotype data
R1_17 chronic response clusters,26,498,26,"498 chronic responders (q<0.25 in R1_01) with >=20 of 26 participants having a finite delta; correlation clustering on participant-level deltas, shown both centred and uncentred"
